Hisse Senedi,Tarih,Oran,http://www.ekinvest.com/Site/hisseler/Temettu 01/01/2013-31/12/2015
EUKYO,31.05.2013,1.03
EUYO,31.05.2013,1.01
GENTS,31.05.2013,1.04
GLYHO,31.05.2013,1.04
HEKTS,31.05.2013,1.11
KUYAS,31.05.2013,1.03
MCTAS,31.05.2013,1.01
MRDIN,31.05.2013,1.06
OYAYO,31.05.2013,1.01
OZKGY,31.05.2013,1.01
PNSUT,31.05.2013,1.06
SELEC,31.05.2013,1.02
SISE,31.05.2013,1.02
SODA,31.05.2013,1.03
TAVHL,31.05.2013,1.03
TGSAS,31.05.2013,1.05
TMSN,31.05.2013,1.04
TRCAS,31.05.2013,1.01
TRGYO,31.05.2013,1.02
TRKCM,31.05.2013,1.01
UCAK,31.05.2013,1
UNYEC,31.05.2013,1.08
USAS,31.05.2013,1
VAKBN,31.05.2013,1.01
YAZIC,31.05.2013,1.01
YBTAS,31.05.2013,1.02
AEFES,30.05.2013,1.02
AKFEN,30.05.2013,1.02
ALKIM,30.05.2013,1.02
BASCM,30.05.2013,1.03
DESPC,30.05.2013,1.11
DGZTE,30.05.2013,1.06
DOBUR,30.05.2013,1.13
EREGL,30.05.2013,1.01
GOLTS,30.05.2013,1.02
INDES,30.05.2013,1.06
LKMNH,30.05.2013,1.02
ORMA,30.05.2013,1
THYAO,30.05.2013,1.02
AGYO,29.05.2013,1.01
CCOLA,29.05.2013,1.01
KONYA,29.05.2013,1.05
NUHCM,29.05.2013,1.03
SNGYO,29.05.2013,1.03
TTKOM,29.05.2013,1.09
AKSGY,28.05.2013,1.05
ARENA,28.05.2013,1.04
DESA,28.05.2013,1.06
ECILC,28.05.2013,1.04
ECZYT,28.05.2013,1.02
ERBOS,28.05.2013,1.03
BIZIM,27.05.2013,1.01
PETUN,27.05.2013,1.08
BIMAS,24.05.2013,1.02
CLEBI,23.05.2013,1.04
JANTS,23.05.2013,1.02
EGSER,21.05.2013,1.1
GRNYO,20.05.2013,1.04
KLNMA,17.05.2013,1.01
GOODY,16.05.2013,1.01
ISGYO,15.05.2013,1.05
ORGE,15.05.2013,1.01
EGCYH,14.05.2013,1.06
KOZAL,14.05.2013,1.03
TKFEN,14.05.2013,1.05
KRATL,10.05.2013,1
EKGYO,9.05.2013,1.03
ENKAI,8.05.2013,1.01
ISGSY,8.05.2013,1.05
GARAN,6.05.2013,1.01
ISMEN,6.05.2013,1.04
ARFYO,2.05.2013,1.03
DOAS,30.04.2013,1.09
ECBYO,29.04.2013,1.04
BLCYT,26.04.2013,1.03
BUCIM,24.04.2013,1.02
AKGRT,18.04.2013,1.07
KCHOL,17.04.2013,1.02
PRKAB,16.04.2013,1.04
ALKA,15.04.2013,1.06
KSTUR,15.04.2013,1
SODSN,15.04.2013,1.05
TCRYO,15.04.2013,1.01
BALAT,12.04.2013,1.71
EREGL,12.04.2013,1.13
AKFEN,10.04.2013,2
EGEEN,10.04.2013,1.05
HALKB,10.04.2013,1.02
AYGAZ,9.04.2013,1.1
ULKER,8.04.2013,1.03
YKBNK,8.04.2013,1.01
TOASO,5.04.2013,1.08
FMIZP,4.04.2013,1.01
TUPRS,4.04.2013,1.07
FROTO,3.04.2013,1.03
OTKAR,3.04.2013,1.05
POLHO,3.04.2013,1.01
KARTN,2.04.2013,1.01
YKBYO,2.04.2013,1.02
YONGA,2.04.2013,1
ARCLK,1.04.2013,1.04
CIMSA,1.04.2013,1.07
ISATR,1.04.2013,1
ISBTR,1.04.2013,1
ISCTR,1.04.2013,1.02
ISKUR,1.04.2013,1
SAHOL,1.04.2013,1.01
AKBNK,29.03.2013,1.01
AKCNS,29.03.2013,1.05
AKMGY,29.03.2013,1.06
ISYAT,29.03.2013,1.19
KORDS,29.03.2013,1.05
AKSA,28.03.2013,1.1
ANHYT,28.03.2013,1.02
BRISA,28.03.2013,1.05
ISGYO,28.03.2013,1.04
MUTLU,28.03.2013,1.02
TSKB,28.03.2013,1.02
IZOCM,27.03.2013,1.03
YUNSA,27.03.2013,1.04
DENTA,25.03.2013,1.1
TTRAK,25.03.2013,1.07
BJKAS,21.03.2013,2.72
COMDO,21.03.2013,1.11
BLCYT,20.03.2013,1.5
EMNIS,19.03.2013,1.29
MMCAS,18.02.2013,1.57
TSPOR,13.02.2013,1.1
BRMEN,30.01.2013,0.42
ISGSY,21.01.2013,1.05
AKSGY,7.01.2013,1.1
